SERIAL_NUMBER,MODEL_NAME,CARTON_NO,PALLET_NO,VENDOR_SN,ASY_B,HW,FW,DESCRIPTION,SKU,INNER_CARTON_NO,PO_NUMBER,BUNDLE,DN,H_H_PARTNUMBER
BHRC1717LH007312-C,DOORBELL_V3,79462,ASSY0175B016,9884E3CE0C54,4/29/17 3:40,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020020,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007323-C,DOORBELL_V3,79462,ASSY0175B016,9884E3286144,4/29/17 3:44,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020020,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007324-C,DOORBELL_V3,79447,ASSY0175B018,9884E3CE09E1,4/29/17 3:41,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290412,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007325-C,DOORBELL_V3,79458,ASSY0175B016,9884E3CE0C07,4/29/17 3:41,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020010,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007332-C,DOORBELL_V3,79462,ASSY0175B016,9884E3CE0C51,4/29/17 3:39,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020020,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007333-C,DOORBELL_V3,79464,ASSY0175B016,9884E3286B2C,4/29/17 3:42,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020028,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007337-C,DOORBELL_V3,79457,ASSY0175B016,9884E3267390,4/29/17 3:35,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290465,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007339-C,DOORBELL_V3,79462,ASSY0175B016,9884E3CFB6F1,4/29/17 3:33,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020020,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007341-C,DOORBELL_V3,79464,ASSY0175B016,9884E3CFEA3C,4/29/17 3:33,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020028,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007342-C,DOORBELL_V3,79457,ASSY0175B016,9884E3CFF0C1,4/29/17 3:34,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290465,100255, ,2170903146,3A0149100-600-GA01
